isbn,titulo,autor,ano,preco,estoque,vendas
529,Antologia Poética: Fernando Pessoa,Fernado Pessoa (Org. Walmir Ayala),2017,25.35,40,21
725,Poesia Completa: João C. de Melo Neto,João C. de Melo Neto,1999,42,81,110
951,Ou Isto Ou Aquilo,Cecília Meireles,2005,39.70,42,45
888,Fausto,Johann Wolfgang von Goethe,1992,31.29,40,59
331,Novas Poesias Completas,Carlos Drummond de Andrade,1960,38.50,65,50
220,Toda Poesia,Paulo Leminski,2013,45.90,70,60
412,Poemas,Mario Quintana,1970,32.00,50,40
925,Poesia Reunida,Vinicius de Moraes,1968,40.25,75,55
456,Folhas de Relva,Walt Whitman,1975,52.00,40,30
884,Os Sonetos,William Shakespeare,1999,48.00,35,25
491,Uma Viagem Para Ítaca,Constantine P. Cavafy,1911,30.50,60,45
